sku,custom_label_2,title,price,inv,cat
827943,spyder_fallback,Spyder 15005 5/8-Inch x 6-1/2-Inch Power Bit,7.3,5,Bit other
869087,spyder_fallback,"Spyder 19171 11/64"" Adjustable Countersink Drill Bit for #8 Screws",7.28,0,Drill Bit
869177,spyder_fallback,"Spyder 19172 3/16"" HSS Tapered Adjustable Countersink Twist Drill Bit for No 10 Screws",7.28,0,Twist Bit
869217,spyder_fallback,"Spyder 19170 9/64"" HSS Tapered Adjustable No. 6 Countersink Twist Drill Bit with 1/4"" Hex Shank",7.28,0,Twist Bit
869059,spyder_fallback,"Spyder 950068 1/2"" x 12"" Three-Flat Grip Shank Rotary Hammer Drill Bit for Concrete and Masonry",7.27,0,Drill Bit
827851,spyder_fallback,Spyder 11025 1-Inch x 16-Inch Spade Bit,7.25,15,Spade Bit
869205,spyder_fallback,"Spyder 100516 5/16"" TetraClad Plated Hex Shank Drill Bit for Multi-Material Drilling",7.25,0,Drill Bit
827824,spyder_fallback,"Spyder 100264 3/16 to 3/4-Inch Grout Removal Tool, Attachment for Reciprocating Saws",7.16,4,Recip Blade
868990,spyder_fallback,"Spyder 950076 3/8"" x 3.5"" Quick-Release Hex Shank Carbide-Tipped Glass and Tile Drill Bit",7.16,0,Drill Bit
828016,spyder_fallback,"Spyder 19067 7-Piece Impact Driver Torx Bit Set (T10, T15, T20, T25, T30, T35, T40)",7.15,5,KIT/SET
869152,spyder_fallback,"Spyder 950011 3/8"" x 12"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",7.15,0,SDS Bit
828075,spyder_fallback,Spyder 21005 4.5-Inch Ceramic 80-Grit Flap Disc,7.12,5,OTHER
828097,spyder_fallback,Spyder 400005 Steel Wire Brush Reciprocating Saw Blade Attachment,7.08,12,Recip Blade
828139,spyder_fallback,Spyder 600074CF 1-1/2-Inch Bi-Metal Hole Saw,7.04,5,Hole Saw
868995,spyder_fallback,"Spyder 950087 1/2"" x 6"" Carbide-Tipped Multi-Construction Masonry Drill Bit",7.03,0,Drill Bit
827822,spyder_fallback,"Spyder 100263 1/16 to 1/8-Inch Grout Removal Tool, Attachment for Reciprocating Saws",7.0,5,Recip Blade
869106,spyder_fallback,"Spyder 950010 1/4"" x 12"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",6.96,0,SDS Bit
827848,spyder_fallback,Spyder 11024 7/8-Inch x 16-Inch Spade Bit,6.95,5,Spade Bit
828087,spyder_fallback,Spyder 300061 5-Piece Double And Single Sided T-Shank High-Carbon Steel Jig Saw Blade Set,6.92,4,KIT/SET
804745,spyder_fallback,"Spyder 600072CF 1-3/8-Inch Bi-Metal Hole Saw for Wood, Metal, and Plastics",6.89,5,Hole Saw
827826,spyder_fallback,"Spyder 100227 1/16-Inch Grout Removal Tool, Attachment for Reciprocating Saws",6.81,5,Recip Blade
828048,spyder_fallback,Spyder 19128 Wing Nut Driver Bit with 1/4-Inch Hex Shank,6.8,5,Driver Bit
828099,spyder_fallback,Spyder 400006 Nylon Brush Reciprocating Saw Blade Attachment,6.79,4,Recip Blade
827855,spyder_fallback,Spyder 11033 1-Inch Spade Bit (2-Pack),6.77,5,KIT/SET
828158,spyder_fallback,Spyder 600645P Hex10 1/2-Inch HSS Quick Change Hole Saw Arbor Pilot Bit,6.6,14,HoleSaw Arbor
868999,spyder_fallback,Spyder 19173 7/64 in Pilot x 5/16 in Counterbore HSS Replacement Countersink Drill Bit for #8 Screws,6.6,0,Drill Bit
868989,spyder_fallback,"Spyder 950075 5/16"" x 3.5"" Quick-Release Hex Shank Carbide-Tipped Glass and Tile Drill Bit",6.57,0,Drill Bit
827825,spyder_fallback,"Spyder 100231 3/16-Inch+ Grout Removal Tool, Attachment for Reciprocating Saws",6.56,5,Recip Blade
827849,spyder_fallback,Spyder 11023 3/4-Inch x 16-Inch Spade Bit,6.56,5,Spade Bit
827819,spyder_fallback,Spyder 00320 4-Inch Scraper Blade Attachment for Reciprocating Saws,6.53,5,Recip Blade
827846,spyder_fallback,Spyder 11022 5/8-Inch x 16-Inch Spade Bit,6.48,5,Spade Bit
828029,spyder_fallback,Spyder 19080 6-Inch 1/4-Inch x 1/4-Inch Magnetic Torsion Impact Bit Driver Holder,6.48,5,Impact Bit
828162,spyder_fallback,Spyder 600648P Hex8 3/8-Inch HSS Quick Change Hole Saw Arbor Pilot Bit,6.48,7,HoleSaw Arbor
869226,spyder_fallback,Spyder 70022 2 in High Carbon Steel Oscillating Tool Rigid Scraper Blade with Dremel Adapter,6.4,0,Oscillating
828160,spyder_fallback,Spyder 600646P Hex10 1/2-Inch TCT Quick Change Hole Saw Arbor Pilot Bit,6.36,4,HoleSaw Arbor
828074,spyder_fallback,Spyder 21004 4.5-Inch Ceramic 60-Grit Flap Disc,6.35,5,OTHER
869058,spyder_fallback,"Spyder 950028 1/4"" x 4"" x 6"" SDS-Plus 4-Cutter Full-Carbide Rotary Hammer Drill Bit",6.27,0,SDS Bit
827942,spyder_fallback,Spyder 15004 1/2-Inch x 6-1/2-Inch Power Bit,6.26,5,Bit other
828136,spyder_fallback,Spyder 600070CF 1-1/4-Inch Bi-Metal Hole Saw,6.25,4,Hole Saw
827823,spyder_fallback,Spyder 00319 2-Inch Scraper Blade Attachment for Reciprocating Saws,6.21,5,Recip Blade
869052,spyder_fallback,"Spyder 950064 5/8"" x 6"" Three Flat Grip Shank Rotary Hammer Drill Bit",6.2,0,Drill Bit
828019,spyder_fallback,Spyder 19070 3-Inch 1/4-Inch x 3/8-Inch Quick Change Driver Bit Holder,6.11,5,Driver Bit
804744,spyder_fallback,"Spyder 600068CF 1-1/8-Inch Bi-Metal Hole Saw for Wood, Metal, and Plastics",5.91,5,Hole Saw
827847,spyder_fallback,Spyder 11021 1/2-Inch x 16-Inch Spade Bit,5.89,5,Spade Bit
868988,spyder_fallback,"Spyder 950074 1/4"" x 3.5"" Quick-Release Hex Shank Carbide-Tipped Glass and Tile Drill Bit",5.88,0,Drill Bit
828073,spyder_fallback,Spyder 21003 4.5-Inch Ceramic 36-Grit Flap Disc,5.86,5,OTHER
869155,spyder_fallback,"Spyder 100512 0.25"" Hex Shank TetraClad Multi Material Drill Bit",5.85,0,Drill Bit
828165,spyder_fallback,Spyder 600649P Hex8 3/8-Inch TCT Quick Change Hole Saw Arbor Pilot Bit,5.83,11,HoleSaw Arbor
869189,spyder_fallback,"Spyder 950005 1/2"" x 6"" SDS-Plus 4-Cutter Carbide-Tipped Rotary Hammer Drill Bit",5.83,0,SDS Bit
