sku,custom_label_2,title,price,inv,cat
827867,spyder_curated,Spyder 12013 1-1/4-Inch x 6-1/2-Inch Auger Bit,18.48,4,Auger Bit
828222,spyder_curated,Spyder 600910CF 2-9/16-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,18.37,4,Hole Saw
828191,spyder_curated,Spyder 600853 1-Inch Diamond Edge Arbored Hole Saw Bit,18.21,4,HoleSaw Arbor
828121,spyder_curated,Spyder 600039CF 3-5/8-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,18.19,10,HoleSaw Arbor
827904,spyder_curated,Spyder 13031 8-1/4-Inch 24-Tooth TCT Framing Circular Saw Blade,18.14,5,Circular Blade
828146,spyder_curated,Spyder 600105CF 4-1/2-Inch Bi-Metal Hole Saw,18.04,5,Hole Saw
828122,spyder_curated,Spyder 600041CF 3-3/4-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,17.98,5,HoleSaw Arbor
828089,spyder_curated,Spyder 300090 10-Piece T-Shank Metal And Wood Cutting Jig Saw Blade Set,17.63,5,KIT/SET
828118,spyder_curated,Spyder 600034CF 3-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,17.41,5,HoleSaw Arbor
828221,spyder_curated,Spyder 600908CF 2-3/8-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,17.15,9,Hole Saw
828119,spyder_curated,Spyder 600036CF 3-1/4-Inch Tungsten Carbide Tipped (TCT) Non-Arbored Hole Saw,17.03,4,HoleSaw Arbor
804756,spyder_curated,Spyder 600637P Hex8 3/8-Inch HSS Quick Change Hole Saw Arbor Assembly,16.85,4,HoleSaw Arbor
827925,spyder_curated,Spyder 14005 Diamond Bite 5-Inch Cut-Off Wheel,16.84,5,Cutoff/Grind
828024,spyder_curated,Spyder 19075 2-Inch PH2 Impact Driver Bit (15-Pack),16.65,5,KIT/SET
828070,spyder_curated,Spyder 200323 12-Inch 6-TPI Reciprocating Blade (2-Pack),16.64,5,KIT/SET
828072,spyder_curated,Spyder 200324 12-Inch 10-TPI Reciprocating Blade (2-Pack),16.64,5,KIT/SET
828189,spyder_curated,Spyder 600851 5/8-Inch Diamond Edge Arbored Hole Saw Bit,16.51,5,HoleSaw Arbor
827874,spyder_curated,Spyder 12018 5/8-Inch x 18-Inch Auger Bit,16.47,5,Auger Bit
828145,spyder_curated,Spyder 600103CF 4-1/4-Inch Bi-Metal Hole Saw,16.47,6,Hole Saw
828025,spyder_curated,Spyder 19076 2-Inch T25 Impact Driver Bit (15-Pack),16.33,5,KIT/SET
828027,spyder_curated,Spyder 19077 2-Inch SQ2 Impact Driver Bit (15-Pack),16.33,5,KIT/SET
827878,spyder_curated,Spyder 12024 7/16-Inch x 18-Inch Auger Bit,16.29,5,Auger Bit
828217,spyder_curated,Spyder 600905CF 2-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,16.08,11,Hole Saw
828218,spyder_curated,Spyder 600906CF 2-1/8-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,15.97,4,Hole Saw
827868,spyder_curated,Spyder 12012 1-1-/8-Inch x 6-1/2-Inch Auger Bit,15.93,5,Auger Bit
828219,spyder_curated,Spyder 600907CF 2-1/4-Inch Carbide Tipped Metal/Wood Cutting Hole Saw,15.88,4,Hole Saw
827866,spyder_curated,Spyder 12011 1-1/16-Inch x 6-1/2-Inch Auger Bit,15.81,5,Auger Bit
827909,spyder_curated,Spyder 13041 6-1/2-Inch 24-Tooth TCT Demolition Circular Saw Blade,15.81,4,Circular Blade
827891,spyder_curated,Spyder 13007 7-1/4-Inch 40-Tooth TCT Fine Circular Saw Blade,15.75,4,Circular Blade
827889,spyder_curated,Spyder 13006 7-1/4-Inch 24-Tooth TCT Demolition Circular Saw Blade,15.58,5,Circular Blade
804747,spyder_curated,"Spyder 600102CF 4-1/8-Inch Bi-Metal Hole Saw for Wood, Metal, and Plastics",15.57,3,Hole Saw
827870,spyder_curated,Spyder 12017 1/2-Inch x 18-Inch Auger Bit,15.37,5,Auger Bit
828249,spyder_curated,"Spyder 11035 6-Piece Assorted Brad Point Twist Drill Bit Set (1/8, 3/16, 1/4, 5/16, 3/8, 1/2-Inch)",15.35,4,KIT/SET
828190,spyder_curated,Spyder 600852 3/4-Inch Diamond Edge Arbored Hole Saw Bit,15.32,5,HoleSaw Arbor
828143,spyder_curated,Spyder 600101CF 4-Inch Bi-Metal Hole Saw,15.08,5,Hole Saw
